V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q20,1,2,3,Q89,Q90,1,2_1,2_2,3_1,3_2,4_1,4_2,5_1,5_2,6_1,6_2,7_1,7_2,8_1,8_2,9_1,9_2,10_1,10_2,11_1,11_2,12_1,12_2,13_1,13_2,14_1,14_2,15_1,15_2,16_1,16_2,17_1,17_2,18_1,18_2,,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1,23_1,24_1,25_1,Q17,1,2,3,4,5,6,7,8,9,10,11,12,13,LocationLatitude,LocationLongitude,LocationAccuracy,
R_bmgqkzh7aWFYdGA,Default Response Set,Anonymous,,,129.118.212.25,0,2012-03-01 10:43:35,2012-03-01 10:45:36,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_8k4a6316jilS2fG,Default Response Set,Anonymous,,,129.118.38.145,0,2012-03-02 11:06:53,2012-03-02 11:15:41,1,1,1,1,2,3,4,3,1,1,2,4,4,3,4,2,4,2,2,4,4,2,4,2,4,2,2,4,4,3,4,3,4,3,4,2,4,2,4,2,4,3,3,4,1,2,2,3,2,3,3,1,1,3,2,1,4,2,2,3,4,2,3,3,3,3,3,3,1,2,1,6,1,1,1,1,2,1,1,1,2,2,2,1,,,-1,
R_cLO5uWoPomEZ5TS,Default Response Set,Anonymous,,,129.118.33.136,0,2012-02-24 12:01:09,2012-02-24 12:02:16,0,1,1,1,1,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6XQQY4XOVm8pbzm,Default Response Set,Anonymous,,,129.118.24.116,0,2012-02-24 12:13:40,2012-02-24 12:13:57,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6WZSghqJcNrCSWM,Default Response Set,Anonymous,,,129.118.24.106,0,2012-02-24 13:43:11,2012-02-24 13:43:30,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_28XNkH5hcY89nus,Default Response Set,Anonymous,,,129.118.238.65,0,2012-02-24 13:44:54,2012-02-24 13:45:15,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_9O09LDsN7K3xi04,Default Response Set,Anonymous,,,129.118.6.122,0,2012-02-24 18:21:59,2012-02-24 18:22:10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_aicgxwM9BSiQnti,Default Response Set,Anonymous,,,129.118.229.135,0,2012-03-02 21:42:00,2012-03-02 21:50:25,1,1,1,1,2,2,2,2,1,1,3,2,4,4,5,2,4,2,4,3,5,3,2,3,4,3,3,5,5,3,5,3,4,3,5,3,4,3,3,3,4,3,4,3,1,2,2,1,1,1,3,1,3,3,1,3,4,2,2,1,3,1,4,3,3,2,4,4,1,2,1,4,1,1,1,1,2,1,1,1,3,3,3,3,,,-1,
R_0TJ4xWuhVkpsOC8,Default Response Set,Anonymous,,,129.118.119.152,0,2012-02-27 08:50:07,2012-02-27 08:52:19,0,1,1,1,2,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_es43CfxiXak9QUs,Default Response Set,Anonymous,,,75.109.45.25,0,2012-02-27 15:04:26,2012-02-27 15:07:04,0,1,1,1,1,2,4,3,1,1,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_e4lmU9KdumSd2Mk,Default Response Set,Anonymous,,,70.238.220.144,0,2012-03-06 23:47:19,2012-03-07 00:05:57,1,1,1,1,1,2,1,2,1,1,5,1,5,5,2,4,1,5,4,4,4,4,4,4,1,5,1,5,3,3,3,3,3,3,4,2,5,1,3,3,5,3,2,5,1,3,1,1,2,1,3,1,4,3,3,4,4,3,1,4,3,2,3,2,4,2,3,4,1,1,1,5,3,1,1,1,1,1,1,4,1,4,3,4,,,-1,
R_3jDbgq2MFQb8imE,Default Response Set,Anonymous,,,129.118.54.195,0,2012-03-02 16:08:42,2012-03-02 16:09:34,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0VDfFPI2U2FpCfO,Default Response Set,Anonymous,,,122.68.100.236,0,2012-05-01 09:38:40,2012-05-01 09:59:19,1,1,1,1,2,1,2,1,2,1,4,3,5,3,3,4,3,3,4,3,5,5,4,3,5,5,4,4,5,3,3,3,4,3,4,3,3,2,3,3,4,3,3,3,1,2,1,2,2,2,4,1,4,4,2,,4,1,2,4,4,1,4,2,4,3,4,4,1,2,1,3,4,3,1,1,2,1,1,3,1,3,3,2,,,-1,
R_79WgmI2AhwyUrNa,Default Response Set,Anonymous,,,222.33.38.89,0,2012-05-01 10:03:39,2012-05-01 10:20:52,1,1,1,1,2,2,1,1,3,1,3,4,3,4,3,4,3,5,3,3,3,4,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,5,3,5,3,3,3,4,1,3,2,2,2,2,3,2,3,4,2,3,3,3,3,3,4,3,4,2,2,2,2,4,2,2,1,6,1,1,1,1,2,1,1,1,3,4,2,3,,,-1,
R_a9SEKnnaTf6ZTw0,Default Response Set,Anonymous,,,218.60.138.118,0,2012-05-01 17:49:26,2012-05-01 18:01:52,1,1,1,1,1,2,1,2,2,1,5,1,5,3,5,1,5,5,5,1,5,3,5,1,4,4,4,4,5,4,5,4,5,4,5,4,1,1,1,1,5,4,5,4,1,2,1,2,2,2,4,1,4,4,2,3,4,1,1,4,4,1,4,2,4,3,4,4,1,2,1,3,4,1,1,1,2,1,4,4,4,4,4,4,,,-1,
R_bvcv6ujGDdk24Dy,Default Response Set,Anonymous,,,113.232.105.247,0,2012-05-01 18:20:00,2012-05-01 18:25:50,1,1,1,1,2,1,2,2,2,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,1,3,3,2,2,2,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,1,3,1,2,1,2,3,3,2,2,1,1,1,1,,,-1,
R_cTriTpOdr2ZXtze,Default Response Set,Anonymous,,,125.39.173.185,0,2012-05-01 19:02:13,2012-05-01 19:16:19,1,1,1,1,1,2,1,1,4,1,5,1,4,3,3,3,3,3,4,3,3,3,4,3,2,4,2,4,2,4,2,4,2,4,2,4,4,2,5,5,5,1,4,4,1,3,3,4,3,4,2,2,3,4,3,1,4,3,3,4,3,3,4,3,3,3,1,4,3,3,1,4,1,2,1,3,3,1,7,7,4,5,4,3,,,-1,
R_0JMEDYrazxVlk8I,Default Response Set,Anonymous,,,116.2.93.69,0,2012-05-01 19:07:08,2012-05-01 19:21:55,1,1,1,1,2,1,1,1,,1,2,4,4,2,2,4,2,4,4,2,4,4,2,4,2,2,2,2,4,2,4,3,4,2,3,4,3,2,3,3,3,3,4,3,1,3,3,3,3,3,4,3,2,4,3,2,4,3,2,4,4,3,3,3,3,4,3,3,3,2,1,4,1,2,1,1,5,1,1,2,4,5,4,1,,,-1,
R_1FHrlhUT1VBi6TG,Default Response Set,Anonymous,,,218.25.219.246,0,2012-05-01 19:19:22,2012-05-01 19:34:16,1,1,1,1,1,2,1,2,1,1,3,3,3,4,3,2,4,3,4,4,4,3,2,3,4,3,3,3,2,4,2,4,3,5,2,4,3,3,,,3,4,4,4,1,3,2,3,3,2,3,1,3,4,3,3,4,4,3,3,4,2,4,2,4,3,2,4,1,2,1,6,6,6,2,2,4,2,2,3,3,3,6,2,,,-1,
R_4VicWGnhHxeN9hW,Default Response Set,Anonymous,,,124.95.127.42,0,2012-05-01 19:36:46,2012-05-01 19:45:18,1,1,1,1,1,2,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,2,3,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,,2,4,3,1,4,3,3,3,2,4,3,2,3,2,3,3,4,,,-1,
R_1ZVyKgkNOSJfnBa,Default Response Set,Anonymous,,,180.223.50.235,0,2012-05-01 19:21:32,2012-05-01 19:51:34,1,1,1,1,1,2,2,1,2,1,4,3,4,2,4,3,4,3,3,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,3,4,4,2,4,4,1,3,3,2,2,2,4,1,4,4,2,3,4,3,3,4,4,1,4,3,4,2,3,4,1,1,1,6,2,4,2,2,3,3,2,4,2,1,1,4,,,-1,
R_cuREGVmOvGp0SBm,Default Response Set,Anonymous,,,61.189.48.166,0,2012-05-01 19:56:40,2012-05-01 20:00:43,1,1,1,1,2,3,1,1,1,1,3,5,2,1,1,2,4,5,2,3,2,1,,,,,,,,,,,,,,,,,,,,,3,,1,2,3,2,2,,3,3,2,3,2,2,2,3,2,2,3,3,3,,2,4,3,4,2,3,1,2,3,2,4,3,2,4,3,3,2,3,2,3,,,-1,
R_6rPLil4M09MHDEw,Default Response Set,Anonymous,,,113.224.201.220,0,2012-05-01 20:01:37,2012-05-01 20:11:09,1,1,1,1,2,3,2,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,1,4,4,1,3,4,2,2,2,3,2,4,2,4,3,3,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,-1,
R_5sYQuYUAIac8ONe,Default Response Set,Anonymous,,,119.21.85.52,0,2012-05-01 20:45:33,2012-05-01 20:49:36,1,1,1,1,1,1,1,1,1,1,4,4,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,3,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,1,2,3,2,2,1,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,2,2,3,2,1,1,2,1,1,1,1,,,-1,
R_bjcWa6Yq7UFb4Vu,Default Response Set,Anonymous,,,110.255.197.5,0,2012-05-01 20:36:30,2012-05-01 20:56:11,1,1,1,1,1,2,1,2,3,1,4,1,5,3,4,3,3,4,3,3,4,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,5,2,3,3,5,2,4,4,1,1,1,1,1,1,2,1,3,2,3,3,2,3,2,4,4,1,4,1,3,2,4,4,1,1,1,4,2,3,2,4,4,3,4,4,5,4,5,4,,,-1,
R_9zZqr4L03WfLJWY,Default Response Set,Anonymous,,,110.255.197.5,0,2012-05-01 20:44:02,2012-05-01 20:59:49,1,1,1,1,1,2,2,2,2,1,4,2,4,3,2,5,3,5,3,4,5,5,2,4,2,4,2,4,1,5,2,5,2,5,4,2,4,2,2,2,4,2,4,4,1,3,2,3,2,2,4,1,4,4,2,3,4,2,3,4,4,2,3,2,4,3,3,4,1,2,1,4,5,2,1,2,3,1,1,1,1,1,1,1,,,-1,
R_7ZYN01q3PLFXRgE,Default Response Set,Anonymous,,,211.137.2.219,0,2012-05-01 21:08:40,2012-05-01 21:25:59,1,1,1,1,1,2,1,2,2,1,4,3,5,2,4,2,,4,4,3,4,4,2,4,4,3,4,3,4,3,2,4,4,4,4,3,3,2,2,2,4,2,3,3,1,2,3,3,2,3,4,1,4,4,2,3,4,3,2,4,4,2,4,3,4,3,2,4,3,2,1,5,1,2,1,2,3,2,1,2,2,2,1,2,,,-1,
R_9nU4V1yGijoCjWI,Default Response Set,Anonymous,,,49.123.85.134,0,2012-05-01 21:22:28,2012-05-01 21:41:37,1,1,1,1,2,2,2,3,2,1,4,3,3,3,4,2,5,3,3,3,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,2,3,3,3,3,4,4,1,2,1,2,3,2,3,1,4,3,2,3,,2,4,4,4,2,4,3,4,3,3,4,3,3,1,3,1,2,2,3,3,2,1,1,2,2,1,1,,,-1,
R_9uY6loOFaan1FOc,Default Response Set,Anonymous,,,49.123.87.35,0,2012-05-01 21:47:20,2012-05-01 21:52:19,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,1,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,1,1,4,6,7,5,4,1,2,5,7,2,2,2,,,-1,
R_0CaRksckNRfkkYI,Default Response Set,Anonymous,,,202.99.16.22,0,2012-05-01 21:45:25,2012-05-01 21:56:24,1,1,1,1,1,1,1,1,3,1,1,2,2,3,4,5,1,3,2,4,3,2,2,5,4,2,1,5,2,3,3,2,4,2,5,1,2,3,,3,4,4,,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,3,3,4,2,3,3,2,2,,,-1,
R_039jCKvMNXWgMKg,Default Response Set,Anonymous,,,49.123.72.77,0,2012-05-01 21:51:55,2012-05-01 22:06:35,1,1,1,1,1,1,2,3,2,1,3,3,4,3,3,3,3,4,4,4,5,5,4,4,4,5,4,4,2,5,2,5,2,5,3,3,4,3,3,4,4,3,4,4,1,3,3,3,2,3,4,1,4,4,2,3,4,3,3,3,4,3,3,2,3,3,2,4,1,3,1,4,5,2,2,2,2,1,2,2,2,2,2,2,,,-1,
R_eeAJtW620bwHM3O,Default Response Set,Anonymous,,,61.183.207.151,0,2012-05-01 21:50:57,2012-05-01 22:15:36,1,1,1,1,1,1,1,1,2,1,4,3,3,3,2,3,3,4,3,4,4,4,3,4,2,4,2,4,2,4,2,4,2,4,4,3,4,2,4,3,4,4,4,3,1,3,2,2,1,2,4,1,4,4,2,3,4,3,3,4,4,2,2,3,4,3,3,4,2,3,1,2,4,2,1,2,1,1,1,2,1,2,1,1,,,-1,
R_eIDdgedCYXExIxK,Default Response Set,Anonymous,,,113.232.102.186,0,2012-05-01 22:35:48,2012-05-01 22:41:50,1,1,,,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
